soc_code,onet_soc_code,occupation_title,software_or_tool,software_category,hot_technology,in_demand,rank
47-2073,47-2073.00,Operating Engineers and Other Construction Equipment Operators,Microsoft Office software,Office suite software,Y,N,2
47-2073,47-2073.00,Operating Engineers and Other Construction Equipment Operators,Microsoft Outlook,Electronic mail software,Y,N,3
47-2073,47-2073.00,Operating Engineers and Other Construction Equipment Operators,Microsoft Windows,Operating system software,Y,N,4
47-2073,47-2073.00,Operating Engineers and Other Construction Equipment Operators,Maintenance record software,Facilities management software,N,N,5
47-2073,47-2073.00,Operating Engineers and Other Construction Equipment Operators,Work record software,Time accounting software,N,N,6
47-2081,47-2081.00,Drywall and Ceiling Tile Installers,Microsoft Office software,Office suite software,Y,N,1
47-2081,47-2081.00,Drywall and Ceiling Tile Installers,Microsoft Windows,Operating system software,Y,N,2
47-2081,47-2081.00,Drywall and Ceiling Tile Installers,Microsoft Word,Word processing software,Y,N,3
47-2081,47-2081.00,Drywall and Ceiling Tile Installers,Business management software,Data base user interface and query software,N,N,4
47-2081,47-2081.00,Drywall and Ceiling Tile Installers,Construction Software Center EasyEst,Project management software,N,N,5
47-2081,47-2081.00,Drywall and Ceiling Tile Installers,DevWave Estimate Works,Project management software,N,N,6
47-2081,47-2081.00,Drywall and Ceiling Tile Installers,Job costing software,Accounting software,N,N,7
47-2081,47-2081.00,Drywall and Ceiling Tile Installers,Logic Group Scanner Digitizing Software,Optical character reader OCR or scanning software,N,N,8
47-2081,47-2081.00,Drywall and Ceiling Tile Installers,On Center Quick Bid,Project management software,N,N,9
47-2081,47-2081.00,Drywall and Ceiling Tile Installers,Turtle Creek Software Goldenseal,Project management software,N,N,10
47-2081,47-2081.00,Drywall and Ceiling Tile Installers,Wilhelm Publishing Threshold,Word processing software,N,N,11
47-2082,47-2082.00,Tapers,Intuit QuickBooks,Accounting software,Y,N,1
47-2082,47-2082.00,Tapers,Microsoft Office software,Office suite software,Y,N,2
47-2082,47-2082.00,Tapers,Applied Computer Systems JOBPOWER,Accounting software,N,N,3
47-2082,47-2082.00,Tapers,Construction Software Center EasyEst,Project management software,N,N,4
47-2082,47-2082.00,Tapers,DevWave Estimate Works,Project management software,N,N,5
47-2082,47-2082.00,Tapers,Microsoft Dynamics,Enterprise resource planning ERP software,N,N,6
47-2082,47-2082.00,Tapers,On Center Quick Bid,Project management software,N,N,7
47-2082,47-2082.00,Tapers,Turtle Creek Software Goldenseal,Accounting software,N,N,8
47-2111,47-2111.00,Electricians,Adobe Acrobat,Document management software,Y,N,1
47-2111,47-2111.00,Electricians,Autodesk AutoCAD,Computer aided design CAD software,Y,N,2
47-2111,47-2111.00,Electricians,Microsoft Excel,Spreadsheet software,Y,N,3
47-2111,47-2111.00,Electricians,Microsoft Office software,Office suite software,Y,N,4
47-2111,47-2111.00,Electricians,Microsoft Outlook,Electronic mail software,Y,N,5
47-2111,47-2111.00,Electricians,Microsoft Windows,Operating system software,Y,N,6
47-2111,47-2111.00,Electricians,Microsoft Word,Word processing software,Y,N,7
47-2111,47-2111.00,Electricians,SAP software,Enterprise resource planning ERP software,Y,N,8
47-2111,47-2111.00,Electricians,AVEVA InTouch HMI,Industrial control software,N,N,9
47-2111,47-2111.00,Electricians,Construction Master Pro,Analytical or scientific software,N,N,10
47-2111,47-2111.00,Electricians,Craftsman CD Estimator,Project management software,N,N,11
47-2111,47-2111.00,Electricians,Database software,Data base user interface and query software,N,N,12
47-2111,47-2111.00,Electricians,Electrosoft FlashWorks,Analytical or scientific software,N,N,13
47-2111,47-2111.00,Electricians,Elite Software E-Coord,Analytical or scientific software,N,N,14
47-2111,47-2111.00,Electricians,Elite Software Inpoint,Analytical or scientific software,N,N,15
47-2111,47-2111.00,Electricians,Elite Software Outpoint,Analytical or scientific software,N,N,16
47-2111,47-2111.00,Electricians,Elite Software Short,Analytical or scientific software,N,N,17
47-2111,47-2111.00,Electricians,Elite Software VDROP,Analytical or scientific software,N,N,18
47-2111,47-2111.00,Electricians,Insight Direct ServiceCEO,Data base user interface and query software,N,N,19
47-2111,47-2111.00,Electricians,Lighting calculation software,Analytical or scientific software,N,N,20
47-2121,47-2121.00,Glaziers,Microsoft Excel,Spreadsheet software,Y,N,1
47-2121,47-2121.00,Glaziers,Microsoft Office software,Office suite software,Y,N,2
47-2121,47-2121.00,Glaziers,Microsoft Windows,Operating system software,Y,N,3
47-2121,47-2121.00,Glaziers,American Glazing Software AGS WindowPricer,Project management software,N,N,4
47-2121,47-2121.00,Glaziers,BidMaster,Project management software,N,N,5
47-2121,47-2121.00,Glaziers,D-CALC FACADE 4000,Computer aided design CAD software,N,N,6
47-2121,47-2121.00,Glaziers,Work order software,Data base user interface and query software,N,N,7
47-2131,47-2131.00,"Insulation Workers, Floor, Ceiling, and Wall",Microsoft Excel,Spreadsheet software,Y,N,1
47-2131,47-2131.00,"Insulation Workers, Floor, Ceiling, and Wall",Microsoft Office software,Office suite software,Y,N,2
47-2131,47-2131.00,"Insulation Workers, Floor, Ceiling, and Wall",Microsoft Outlook,Electronic mail software,Y,N,3
47-2131,47-2131.00,"Insulation Workers, Floor, Ceiling, and Wall",Microsoft Windows,Operating system software,Y,N,4
47-2131,47-2131.00,"Insulation Workers, Floor, Ceiling, and Wall",CMSN FieldPAK,Data base user interface and query software,N,N,5
47-2131,47-2131.00,"Insulation Workers, Floor, Ceiling, and Wall",Comput-Ability Mechanical Insulation Key Estimator,Data base user interface and query software,N,N,6
47-2131,47-2131.00,"Insulation Workers, Floor, Ceiling, and Wall",North American Insulation Manufacturers Association NAIMA 3E Plus,Analytical or scientific software,N,N,7
47-2131,47-2131.00,"Insulation Workers, Floor, Ceiling, and Wall",Turtle Creek Software Goldenseal,Project management software,N,N,8
47-2132,47-2132.00,"Insulation Workers, Mechanical",CMSN FieldPAK,Data base user interface and query software,N,N,1
47-2132,47-2132.00,"Insulation Workers, Mechanical",Comput-Ability Mechanical Insulation Key Estimator,Data base user interface and query software,N,N,2
47-2132,47-2132.00,"Insulation Workers, Mechanical",IBM Maximo Asset Management,Enterprise resource planning ERP software,N,N,3
47-2132,47-2132.00,"Insulation Workers, Mechanical",North American Insulation Manufacturers Association NAIMA 3E Plus,Analytical or scientific software,N,N,4
47-2132,47-2132.00,"Insulation Workers, Mechanical",Turtle Creek Software Goldenseal,Project management software,N,N,5
47-2141,47-2141.00,"Painters, Construction and Maintenance",Microsoft Excel,Spreadsheet software,Y,N,1
47-2141,47-2141.00,"Painters, Construction and Maintenance",Microsoft Office software,Office suite software,Y,N,2
47-2141,47-2141.00,"Painters, Construction and Maintenance",Microsoft Windows,Operating system software,Y,N,3
47-2141,47-2141.00,"Painters, Construction and Maintenance",Microsoft Word,Word processing software,Y,N,4
47-2141,47-2141.00,"Painters, Construction and Maintenance",Act!,Customer relationship management CRM software,N,N,5
47-2141,47-2141.00,"Painters, Construction and Maintenance",Corel Paint Shop Pro,Graphics or photo imaging software,N,N,6
47-2141,47-2141.00,"Painters, Construction and Maintenance",Corel Painter,Graphics or photo imaging software,N,N,7
47-2141,47-2141.00,"Painters, Construction and Maintenance",Evergreen Technology Eagle Bid Estimating,Project management software,N,N,8
47-2141,47-2141.00,"Painters, Construction and Maintenance",Evergreen Technology Total Faux,Analytical or scientific software,N,N,9
47-2141,47-2141.00,"Painters, Construction and Maintenance",Insight Direct ServiceCEO,Data base user interface and query software,N,N,10
47-2141,47-2141.00,"Painters, Construction and Maintenance",On Center Quick Bid,Project management software,N,N,11
47-2141,47-2141.00,"Painters, Construction and Maintenance",Turtle Creek Software Goldenseal,Project management software,N,N,12
47-2142,47-2142.00,Paperhangers,Google Docs,Word processing software,Y,N,1
